Frequency,Real part,Imaginary part,Magnitude,Angle
+4.809570E+04,+2.261077E-04,-9.106921E-05,-7.226080E+01,-3.828912E-01
+4.833984E+04,-2.394901E-05,+3.939059E-04,-6.807613E+01,+1.631520E+00
+4.858398E+04,+3.337865E-05,-3.324304E-04,-6.952242E+01,-1.470724E+00
+4.882812E+04,-1.663176E-04,+3.528606E-04,-6.817665E+01,+2.011255E+00
+4.907227E+04,+1.419320E-04,-2.749043E-04,-7.019010E+01,-1.094197E+00
+4.931641E+04,-7.823821E-05,+7.650033E-06,-8.209029E+01,+3.044124E+00
+4.956055E+04,+1.624505E-04,+6.123939E-05,-7.520850E+01,+3.604990E-01
+4.980469E+04,-1.843324E-04,-1.007746E-04,-7.355228E+01,-2.641286E+00
+5.004883E+04,+6.382992E-05,+1.331606E-04,-7.661424E+01,+1.123808E+00
+5.029297E+04,-5.437687E-05,+9.843559E-05,-7.898032E+01,+2.075489E+00
+5.053711E+04,+9.078138E-05,-1.785380E-04,-7.396671E+01,-1.100395E+00
+5.078125E+04,+1.727670E-04,-1.975600E-04,-7.161917E+01,-8.522475E-01
+5.102539E+04,-4.639475E-04,+3.370586E-04,-6.482995E+01,+2.513301E+00
+5.126953E+04,+3.462098E-04,-7.823354E-05,-6.899693E+01,-2.222389E-01
+5.151367E+04,-1.608570E-04,+1.378366E-04,-7.348006E+01,+2.433113E+00
+5.175781E+04,+1.510192E-06,-2.780345E-04,-7.111790E+01,-1.565365E+00
+5.200195E+04,+1.376566E-04,+2.034627E-04,-7.219349E+01,+9.759694E-01
+5.224609E+04,-9.694498E-05,-6.408247E-06,-8.025056E+01,-3.075587E+00
+5.249023E+04,+4.947231E-05,-1.226814E-04,-7.757005E+01,-1.187484E+00
+5.273438E+04,-1.169943E-04,+1.672617E-04,-7.380238E+01,+2.181166E+00
+5.297852E+04,+2.020259E-04,-2.610039E-04,-6.962823E+01,-9.120901E-01
+5.322266E+04,+1.054499E-05,+1.482941E-04,-7.655562E+01,+1.499807E+00
+5.346680E+04,-1.818490E-04,-2.609921E-05,-7.471723E+01,-2.999045E+00
+5.371094E+04,+1.344035E-05,-1.528060E-05,-9.382853E+01,-8.493838E-01
+5.395508E+04,+4.083796E-05,+8.176400E-05,-8.078152E+01,+1.107580E+00
+5.419922E+04,+1.152164E-04,-4.071642E-05,-7.825863E+01,-3.396923E-01
+5.444336E+04,-2.603646E-04,-2.242179E-05,-7.165627E+01,-3.055688E+00
+5.468750E+04,+1.359186E-04,+1.412519E-04,-7.415376E+01,+8.046376E-01
+5.493164E+04,+1.511203E-04,-2.398574E-04,-7.094912E+01,-1.008579E+00
+5.517578E+04,-2.537594E-04,+7.794982E-05,-7.151996E+01,+2.843562E+00
+5.541992E+04,+2.169224E-04,-3.273239E-05,-7.317613E+01,-1.497646E-01
+5.566406E+04,-1.002886E-04,+1.764046E-04,-7.385352E+01,+2.087743E+00
+5.590820E+04,+1.066165E-04,-1.434910E-04,-7.495438E+01,-9.317781E-01
+5.615234E+04,-2.274793E-04,+2.077593E-05,-7.282509E+01,+3.050514E+00
+5.639648E+04,+1.391998E-04,+1.358579E-04,-7.422118E+01,+7.732491E-01
+5.664062E+04,+6.025559E-05,-1.970043E-04,-7.372210E+01,-1.273973E+00
+5.688477E+04,-2.441722E-04,+6.477453E-05,-7.195071E+01,+2.882283E+00
+5.712891E+04,+1.648582E-04,-9.278794E-05,-7.446265E+01,-5.126437E-01
+5.737305E+04,+8.720883E-05,+1.718518E-04,-7.430177E+01,+1.101194E+00
+5.761719E+04,-1.075172E-04,-7.160032E-05,-7.777634E+01,-2.554091E+00
+5.786133E+04,-6.866394E-05,-4.586830E-07,-8.326523E+01,-3.134913E+00
+5.810547E+04,+1.273626E-04,+8.117316E-05,-7.641869E+01,+5.674233E-01
+5.834961E+04,-6.725864E-06,-9.058585E-05,-8.083492E+01,-1.644909E+00
+5.859375E+04,-1.806037E-05,-2.772043E-05,-8.960745E+01,-2.148238E+00
+5.883789E+04,+1.713602E-04,+1.092955E-04,-7.383946E+01,+5.677591E-01
+5.908203E+04,-3.124967E-04,-4.842611E-05,-7.000003E+01,-2.987850E+00
+5.932617E+04,+1.816232E-04,+3.249116E-05,-7.467976E+01,+1.770207E-01
+5.957031E+04,-9.010470E-05,-1.820598E-04,-7.384422E+01,-2.030370E+00
+5.981445E+04,+1.030700E-05,+1.160467E-04,-7.867322E+01,+1.482211E+00
+6.005859E+04,+8.839533E-05,+4.896706E-05,-7.990910E+01,+5.058748E-01
